tweet_id,tweet_url,score,underperform,is_reply,has_media,media_type,tweet_age_hours,retired,refresh_count,cycle_retweeted,last_retweeted_at,funnel_stage,funnel_stage_source,impressions,likes,retweets,replies,quotes,bookmarks,profile_visits,link_clicks,of_clicks,engagement_rate,like_rate,bookmark_rate,profile_visit_rate,link_click_rate,of_click_rate,resurface_baseline_score,resurface_baseline_engagement_rate,resurface_baseline_profile_visit_rate,revival_score,revival_lift,strong_reviver,pair_partner_id,pair_memory_score,pair_success_count,archetype,archetype_score,entropy_score,archive_signal,top_terms
1994440127049847096,https://x.com/i/web/status/1994440127049847096,0.0000,yes,no,yes,photo,3051.83,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1993746416167256451,https://x.com/i/web/status/1993746416167256451,0.0000,yes,no,yes,photo,3097.77,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1993730174609993861,https://x.com/i/web/status/1993730174609993861,0.0000,yes,no,yes,photo,3098.85,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1993705296368402628,https://x.com/i/web/status/1993705296368402628,0.0000,yes,no,yes,photo,3100.49,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1993446282313318613,https://x.com/i/web/status/1993446282313318613,0.0000,yes,no,yes,photo,3117.65,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1993436073675084111,https://x.com/i/web/status/1993436073675084111,0.0000,yes,no,yes,photo,3118.32,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1993355705886425567,https://x.com/i/web/status/1993355705886425567,0.0000,yes,no,yes,photo,3123.65,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1993320328341127671,https://x.com/i/web/status/1993320328341127671,0.0000,yes,no,yes,video,3125.99,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1993183646036246928,https://x.com/i/web/status/1993183646036246928,0.0000,yes,no,yes,photo,3135.04,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1991931313700614436,https://x.com/i/web/status/1991931313700614436,0.0000,yes,no,yes,photo,3217.98,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1988995068091605481,https://x.com/i/web/status/1988995068091605481,0.0000,yes,no,yes,photo,3412.44,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1988616436760088654,https://x.com/i/web/status/1988616436760088654,0.0000,yes,no,yes,photo,3437.52,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1987583102789837161,https://x.com/i/web/status/1987583102789837161,0.0000,yes,no,yes,photo,3505.95,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1986834311140811038,https://x.com/i/web/status/1986834311140811038,0.0000,yes,no,yes,photo,3555.54,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1984331641071026609,https://x.com/i/web/status/1984331641071026609,0.0000,yes,no,yes,photo,3721.29,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1983571161729638520,https://x.com/i/web/status/1983571161729638520,0.0000,yes,no,yes,photo,3771.65,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1983569533597315082,https://x.com/i/web/status/1983569533597315082,0.0000,yes,no,yes,photo,3771.76,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1983561150458736795,https://x.com/i/web/status/1983561150458736795,0.0000,yes,no,yes,photo,3772.32,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1982672928056688856,https://x.com/i/web/status/1982672928056688856,0.0000,yes,no,yes,video,3831.14,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1982213790608539848,https://x.com/i/web/status/1982213790608539848,0.0000,yes,no,yes,photo,3861.55,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1980676085349277996,https://x.com/i/web/status/1980676085349277996,0.0000,yes,no,yes,video,3963.39,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1980473876024029514,https://x.com/i/web/status/1980473876024029514,0.0000,yes,no,yes,photo,3976.78,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1980284616612422084,https://x.com/i/web/status/1980284616612422084,0.0000,yes,no,yes,photo,3989.31,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1979187218045354359,https://x.com/i/web/status/1979187218045354359,0.0000,yes,no,yes,photo,4061.99,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1978250937429843971,https://x.com/i/web/status/1978250937429843971,0.0000,yes,no,yes,photo,4124.00,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1978250606956478973,https://x.com/i/web/status/1978250606956478973,0.0000,yes,no,yes,photo,4124.02,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1977374787262370161,https://x.com/i/web/status/1977374787262370161,0.0000,yes,no,yes,photo,4182.02,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1977175376276377892,https://x.com/i/web/status/1977175376276377892,0.0000,yes,no,yes,photo,4195.23,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1975936747071787144,https://x.com/i/web/status/1975936747071787144,0.0000,yes,no,yes,photo,4277.26,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1975260255656595572,https://x.com/i/web/status/1975260255656595572,0.0000,yes,no,yes,photo,4322.06,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1975157627551363495,https://x.com/i/web/status/1975157627551363495,0.0000,yes,no,yes,video,4328.86,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1975156664702845075,https://x.com/i/web/status/1975156664702845075,0.0000,yes,no,yes,video,4328.92,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1974473270268432745,https://x.com/i/web/status/1974473270268432745,0.0000,yes,no,yes,photo,4374.18,no,1,yes,2026-04-07 05:51:43,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0,0,no,,0,0,,0,0,0,
1973516956402852152,https://x.com/i/web/status/1973516956402852152,0.0000,yes,no,yes,photo,4437.52,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1973460707837616526,https://x.com/i/web/status/1973460707837616526,0.0000,yes,no,yes,video,4441.24,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1973407321507377645,https://x.com/i/web/status/1973407321507377645,0.0000,yes,no,yes,photo,4444.78,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
